product,month,inQty,qtr,timeAvailable,dayAvailable,dayShutDown,process,eqp,cost,ct,oee,pass,eqpQty,eqpTimeAvailable,prodProcess,variable,solver_qty,Remark,hourRequired,hourAvailable,eqpUtilisation,eqpRequired,eqpCapacity,TCost,reportDate
Product_46,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,3.6,124.1,1.0,1.0,99.0,256608000.0,19M06Product_46Pressing,19M06Product_46PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_47,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_01,1.9,124.1,1.0,1.0,26.0,67392000.0,19M06Product_47Pressing,19M06Product_47PressingHydraulicPress_01,0.0,First Optimal,0.0,18720.0,0.0,0.0,1284554.3505133665,0.0,2020-06-25 16:53:37
Product_47,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,2.2,40.0,1.0,1.0,7.0,18144000.0,19M06Product_47Clinching,19M06Product_47ClinchingClincher_02,0.0,First Optimal,0.0,5040.0,0.0,0.0,671640.9037551616,0.0,2020-06-25 16:53:37
Product_47,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,4.4,40.0,1.0,1.0,99.0,256608000.0,19M06Product_47Clinching,19M06Product_47ClinchingClincher_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,3960143.180051119,0.0,2020-06-25 16:53:37
Product_47,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,3.8,124.1,1.0,1.0,99.0,256608000.0,19M06Product_47Pressing,19M06Product_47PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_48,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_01,1.9,124.1,1.0,1.0,26.0,67392000.0,19M06Product_48Pressing,19M06Product_48PressingHydraulicPress_01,0.0,First Optimal,0.0,18720.0,0.0,0.0,1284554.3505133665,0.0,2020-06-25 16:53:37
Product_48,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,2.2,40.0,1.0,1.0,7.0,18144000.0,19M06Product_48Clinching,19M06Product_48ClinchingClincher_02,0.0,First Optimal,0.0,5040.0,0.0,0.0,671640.9037551616,0.0,2020-06-25 16:53:37
Product_48,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,4.4,40.0,1.0,1.0,99.0,256608000.0,19M06Product_48Clinching,19M06Product_48ClinchingClincher_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,3960143.180051119,0.0,2020-06-25 16:53:37
Product_48,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,3.8,124.1,1.0,1.0,99.0,256608000.0,19M06Product_48Pressing,19M06Product_48PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_57,19M06,15022,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_06,7.5,50.0,1.0,1.0,1.0,2592000.0,19M06Product_57HeatStaking,19M06Product_57HeatStakingHeatStake_06,0.0,First Optimal,0.0,720.0,0.0,0.0,129600.0,0.0,2020-06-25 16:53:37
